"Country","timePeriod","no","asynchrony","AreaHarvested","propNo","propAsynchrony","metric"
"DEU",1978,3,0.5070060191,335229.285714286,0.923848415325394,0.760144776660812,"asynchronyBetween"
"DEU",1978,4,0.6669861251,362861.785714286,1,1,"asynchronyBetween"
"DEU",1978,1,0,743070,0.261142310909308,0,"asynchronyWithin"
"DEU",1978,2,0.192115890944176,1469880,0.516570255775868,0.591061691188648,"asynchronyWithin"
"DEU",1978,3,0.231962093211175,1942650,0.682719138557562,0.713652090054827,"asynchronyWithin"
"DEU",1978,4,0.243865401750449,2210430,0.776826945379657,0.750273681539979,"asynchronyWithin"
"DEU",1978,5,0.301654253239836,2460320,0.864647543806625,0.928066242713858,"asynchronyWithin"
"DEU",1978,6,0.306325973336866,2649110,0.930995339945035,0.942439206697939,"asynchronyWithin"
"DEU",1978,7,0.321169386468434,2832030,0.995280200740829,0.988106292462883,"asynchronyWithin"
"DEU",1978,8,0.325035260799635,2845460,1,1,"asynchronyWithin"
"DEU",1988,1,0,199022.5,0.583749464450513,0,"asynchronyBetween"
"DEU",1988,2,0.3644143257,257982.5,0.756684024231454,0.575315682672574,"asynchronyBetween"
"DEU",1988,3,0.5447906761,312018.214285714,0.915175246457517,0.860083146105923,"asynchronyBetween"
"DEU",1988,4,0.6334162907,340938.214285714,1,1,"asynchronyBetween"
"DEU",1988,1,0,746270,0.27913909638036,0,"asynchronyWithin"
"DEU",1988,2,0.107822815880746,1415110,0.529315832981107,0.450847821062339,"asynchronyWithin"
"DEU",1988,3,0.132750438170441,1794900,0.671374655410384,0.555079602636325,"asynchronyWithin"
"DEU",1988,4,0.196809613496112,2078500,0.777454020430377,0.822935152305627,"asynchronyWithin"
"DEU",1988,5,0.206126089119115,2280230,0.852910262692306,0.861890847353113,"asynchronyWithin"
"DEU",1988,6,0.203542141224422,2477560,0.926720703804419,0.851086387568372,"asynchronyWithin"
"DEU",1988,7,0.238211232668756,2661830,0.995646107867304,0.996050922284073,"asynchronyWithin"
"DEU",1988,8,0.239155677023527,2673470,1,1,"asynchronyWithin"
"DEU",1998,1,0,227711.666666667,0.418165124830984,0,"asynchronyBetween"
"DEU",1998,2,0.1259128021,382130.833333333,0.701737376752477,0.36835986231707,"asynchronyBetween"
"DEU",1998,3,0.1894284907,481296.666666667,0.883843518619612,0.554175997908177,"asynchronyBetween"
"DEU",1998,4,0.3243112642,519570.303030303,0.954128454661839,0.948777651169331,"asynchronyBetween"
"DEU",1998,5,0.3388909385,543023.636363636,0.997197684291573,0.991430715259751,"asynchronyBetween"
"DEU",1998,6,0.3418200922,544549.636363636,1,1,"asynchronyBetween"
"DEU",1998,1,0,1200280,0.185067317951659,0,"asynchronyWithin"
"DEU",1998,2,0.300609914947581,2231450,0.34406010817745,0.861085338982633,"asynchronyWithin"
"DEU",1998,3,0.349105833462162,2955940,0.455766894246366,1,"asynchronyWithin"
"DEU",1998,4,0.322614629377965,3599020,0.554921333900741,0.924116982459221,"asynchronyWithin"
"DEU",1998,5,0.320423960838504,4214190,0.649772420300849,0.91784189814529,"asynchronyWithin"
"DEU",1998,6,0.309232380547379,4670350,0.720106265534319,0.885784054309981,"asynchronyWithin"
